"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"14521","9","가평군","99",3,127.4209954,"4",0,NA
"14522","9","가평군","99",3,127.4185812,"4",0,NA
"14523","9","가평군","99",3,127.4168596,"4",0,NA
"14524","9","가평군","99",3,127.4199325,"4",0,NA
"14525","9","가평군","99",3,127.507266,"4",30,NA
"14526","9","가평군","99",3,127.421893,"4",30,NA
"14527","9","가평군","99",3,127.348713,"4",30,NA
"14528","9","가평군","99",3,127.4911757,"4",30,NA
"14560","9","가평군","2",3,127.5149278,"4",0,NA
"14561","9","가평군","2",3,127.5107743,"4",0,NA
"14562","9","가평군","2",3,127.514808,"4",0,NA
"14563","9","가평군","2",3,127.5139497,"4",0,NA
"14564","9","가평군","2",3,127.5144614,"4",0,NA
"14565","9","가평군","2",3,127.5132184,"4",0,NA
"14566","9","가평군","2",3,127.5139476,"4",0,NA
"14567","9","가평군","4",3,127.4913052,"4",0,NA
"14568","9","가평군","4",3,127.490456,"4",0,NA
"14569","9","가평군","4",3,127.3481743,"4",0,NA
