"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"445","경상남도","거창군","군도",3,127.914634,"04",0,NA
"446","경상남도","거창군","군도",3,127.914634,"04",0,NA
"447","경상남도","거창군","군도",3,127.914634,"04",0,NA
"448","경상남도","거창군","군도",3,127.914634,"04",0,NA
"449","경상남도","거창군","군도",3,127.9092777,"04",0,NA
"450","경상남도","거창군","군도",3,127.9092777,"04",0,NA
"451","경상남도","거창군","군도",3,127.9092777,"04",0,NA
"452","경상남도","거창군","군도",3,127.9014017,"04",0,NA
"453","경상남도","거창군","군도",3,127.9014017,"04",0,NA
"454","경상남도","거창군","군도",3,127.9014017,"04",0,NA
"455","경상남도","거창군","군도",3,127.8989302,"04",0,NA
"456","경상남도","거창군","군도",3,127.8989302,"04",0,NA
"457","경상남도","거창군","군도",3,127.8989302,"04",0,NA
"458","경상남도","거창군","군도",3,127.9158472,"04",0,NA
"459","경상남도","거창군","군도",3,127.9158472,"04",0,NA
"460","경상남도","거창군","군도",3,127.9159158,"04",0,NA
"461","경상남도","거창군","군도",3,127.9159158,"04",0,NA
"462","경상남도","거창군","군도",3,127.909045,"04",0,NA
"463","경상남도","거창군","군도",3,127.909045,"04",0,NA
"464","경상남도","거창군","군도",3,127.909045,"04",0,NA
"465","경상남도","거창군","군도",3,127.909045,"04",0,NA
"466","경상남도","거창군","군도",3,127.9103234,"04",0,NA
"467","경상남도","거창군","군도",3,127.9103234,"04",0,NA
"468","경상남도","거창군","군도",3,127.9099188,"04",0,NA
"469","경상남도","거창군","군도",3,127.9099188,"04",0,NA
"470","경상남도","거창군","군도",3,127.9099188,"04",0,NA
"759","경상남도","밀양시","기타",3,128.772101,"4",0,NA
"788","경상남도","밀양시","기타",3,128.753691,"4",0,NA
"789","경상남도","밀양시","기타",3,128.7515395,"4",0,NA
"790","경상남도","밀양시","기타",3,128.751781,"4",0,NA
"791","경상남도","밀양시","기타",3,128.751566,"4",0,NA
"792","경상남도","밀양시","기타",3,128.752798,"4",0,NA
"793","경상남도","밀양시","기타",3,128.748165,"4",0,NA
"794","경상남도","밀양시","기타",3,128.744051,"4",0,NA
"795","경상남도","밀양시","기타",3,128.7425821,"4",0,NA
"796","경상남도","밀양시","기타",3,128.7444242,"4",0,NA
"797","경상남도","밀양시","기타",3,128.7471021,"4",0,NA
"798","경상남도","밀양시","일반국도",3,128.7535358,"4",0,NA
"799","경상남도","밀양시","기타",3,128.7568819,"4",0,NA
"800","경상남도","밀양시","일반국도",3,128.7492022,"4",0,NA
"801","경상남도","밀양시","기타",3,128.7511582,"4",0,NA
"802","경상남도","밀양시","기타",3,128.7518497,"4",0,NA
"803","경상남도","밀양시","기타",3,128.7478307,"4",0,NA
"804","경상남도","밀양시","기타",3,128.7457142,"4",0,NA
"805","경상남도","밀양시","기타",3,128.7481994,"4",0,NA
"806","경상남도","밀양시","일반국도",3,128.7528033,"4",0,NA
"807","경상남도","밀양시","기타",3,128.7467984,"4",0,NA
"808","경상남도","밀양시","일반국도",3,128.7705279,"4",0,NA
"809","경상남도","밀양시","기타",3,128.7641676,"4",0,NA
"810","경상남도","밀양시","지방도",3,128.651851,"4",0,NA
"811","경상남도","밀양시","기타",3,128.843217,"4",0,NA
"812","경상남도","밀양시","지방도",3,128.8372706,"4",0,NA
"813","경상남도","밀양시","일반국도",3,128.7078133,"4",0,NA
"814","경상남도","밀양시","기타",3,128.7426189,"4",0,NA
"815","경상남도","밀양시","기타",3,128.7362894,"4",0,NA
"881","경상남도","의창구","시도",2,128.6334820638,"4",60,NA
"2399","경상남도","의창구","시도",2,NA,"4",60,NA
"2710","경상남도","진해구","시도",2,128.8155719177,"4",60,NA
"2711","경상남도","진해구","시도",2,128.8051308078,"4",60,NA
"2712","경상남도","진해구","시도",2,128.7059664232,"4",60,NA
"2713","경상남도","진해구","시도",2,128.7063861471,"4",60,NA
"2714","경상남도","마산합포구","시도",2,NA,"4",60,NA
"2715","경상남도","마산합포구","시도",2,128.5768644,"4",60,NA
"2716","경상남도","마산합포구","시도",2,128.5803005,"4",60,NA
"2717","경상남도","마산합포구","시도",2,128.558187,"4",60,NA
"2718","경상남도","마산합포구","시도",2,128.5786289,"4",60,NA
"2719","경상남도","마산합포구","시도",2,128.5625216,"4",60,NA
"2720","경상남도","마산합포구","시도",2,128.5602383,"4",60,NA
"2721","경상남도","마산합포구","시도",2,NA,"4",60,NA
"2722","경상남도","마산합포구","시도",2,128.5745952,"4",60,NA
"2723","경상남도","마산합포구","시도",2,NA,"4",60,NA
"2724","경상남도","마산합포구","시도",2,128.5590674,"4",60,NA
"2725","경상남도","마산합포구","시도",2,128.5590674,"4",60,NA
"2726","경상남도","마산합포구","시도",2,128.570675,"4",60,NA
"2727","경상남도","마산합포구","시도",2,128.565599,"4",60,NA
"2728","경상남도","마산합포구","시도",2,128.5747432,"4",60,NA
"2729","경상남도","마산합포구","시도",2,128.5590999849,"4",60,NA
"2730","경상남도","마산합포구","시도",2,128.5622277,"4",60,NA
"2731","경상남도","마산합포구","시도",2,128.5674461,"4",60,NA
"2732","경상남도","마산합포구","시도",2,128.5847207,"4",60,NA
"2733","경상남도","마산합포구","시도",2,128.5783079,"4",60,NA
"2734","경상남도","마산합포구","시도",2,128.4870977,"4",60,NA
"2735","경상남도","마산합포구","시도",2,NA,"4",60,NA
"2736","경상남도","마산합포구","시도",2,NA,"4",60,NA
"2737","경상남도","마산합포구","시도",2,128.5747648,"4",60,NA
"2762","경상남도","의창구","시도",2,128.6532662,"4",60,NA
"2763","경상남도","의창구","시도",2,128.6685605,"4",60,NA
"2764","경상남도","진해구","시도",2,128.8109376692,"4",60,NA
"2765","경상남도","의창구","시도",2,NA,"4",60,NA
"2766","경상남도","진해구","시도",2,128.8099382892,"4",60,NA
"2767","경상남도","진해구","시도",2,128.7083304376,"4",60,NA
"2768","경상남도","진해구","시도",2,128.6974251631,"4",60,NA
"2769","경상남도","진해구","시도",2,128.7055716947,"4",60,NA
"2770","경상남도","진해구","시도",2,128.6682008751,"4",60,NA
"2771","경상남도","진해구","시도",2,128.810593911,"4",60,NA
"2772","경상남도","진해구","시도",2,128.8061608185,"4",60,NA
"2773","경상남도","진해구","시도",2,128.8114982087,"4",60,NA
"2774","경상남도","진해구","시도",2,128.7039825656,"4",60,NA
"2775","경상남도","진해구","시도",2,128.6981279762,"4",60,NA
"2776","경상남도","진해구","시도",2,128.702572,"4",60,NA
"2777","경상남도","진해구","시도",2,128.8213734641,"4",60,NA
"2778","경상남도","진해구","시도",2,128.6854850824,"4",60,NA
"2779","경상남도","진해구","시도",2,128.8187436346,"4",60,NA
"2780","경상남도","진해구","시도",2,128.807503805,"4",60,NA
