"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"604","경상북도","울진군","일반국도",1,129.4021802337,"01+02",60,NA
"605","경상북도","울진군","일반국도",2,129.4021802337,"01+02",60,NA
"606","경상북도","울진군","일반국도",2,129.3005989341,"01+02",60,NA
"607","경상북도","울진군","일반국도",1,129.3627555955,"1",60,NA
"608","경상북도","울진군","일반국도",2,129.2290062522,"1",60,NA
"609","경상북도","울진군","기타",3,129.4011364475,"1",30,NA
"610","경상북도","울진군","기타",2,129.4012972878,"1",30,NA
"640","경상북도","울진군","일반국도",2,129.4145413442,"1",60,NA
"641","경상북도","울진군","일반국도",2,129.4052882988,"1",80,NA
"642","경상북도","울진군","일반국도",2,129.4145413442,"1",60,NA
"643","경상북도","울진군","일반국도",1,129.425259,"1",80,NA
"644","경상북도","울진군","일반국도",1,129.4290964015,"1",60,NA
"645","경상북도","울진군","일반국도",2,129.4438898039,"01+02",60,NA
"646","경상북도","울진군","일반국도",1,129.443959,"01+02",60,NA
"647","경상북도","울진군","일반국도",2,129.3934204014,"1",80,NA
"648","경상북도","울진군","일반국도",1,129.373171,"1",50,NA
"649","경상북도","울진군","일반국도",2,129.3731081868,"1",50,NA
"650","경상북도","울진군","일반국도",2,129.4355142675,"1",80,NA
"651","경상북도","울진군","일반국도",1,129.4599198782,"1",80,NA
"652","경상북도","울진군","일반국도",1,129.3833304399,"1",80,NA
"653","경상북도","울진군","일반국도",1,129.4060744903,"1",80,NA
"760","경상북도","예천군","군도",3,128.4533070453,"4",0,NA
"761","경상북도","예천군","군도",3,128.454904,"4",0,NA
"762","경상북도","예천군","군도",3,128.4507948135,"4",0,NA
"763","경상북도","예천군","군도",3,128.4554544061,"4",0,NA
"764","경상북도","예천군","군도",3,128.455754,"4",0,NA
"765","경상북도","예천군","군도",3,128.4603167951,"4",0,NA
"766","경상북도","예천군","군도",3,128.4545111668,"4",0,NA
"767","경상북도","예천군","군도",3,128.493553139,"4",0,NA
"768","경상북도","예천군","군도",3,128.493553139,"4",0,NA
"769","경상북도","예천군","기타",3,128.4885277272,"4",0,NA
"770","경상북도","예천군","기타",3,128.4915742213,"4",0,NA
"771","경상북도","예천군","기타",3,128.4604416518,"4",0,NA
"1153","경상북도","고속도로","고속국도",2,127.9938318,"2",110,NA
"1436","경상북도","고속도로","고속국도",2,128.1129454,"2",110,NA
"1654","경상북도","고속도로","고속국도",2,128.0992829,"2",110,NA
"1729","경상북도","칠곡","지방도",1,127.9849699,"2",60,NA
"2029","경상북도","울진","일반국도",2,128.5094714,"1",60,NA
"2128","경상북도","울진","일반국도",2,129.2282274,"1",60,NA
