"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"186","전라남도","강진군","일반국도",3,126.7508741719,"2",80,NA
"187","전라남도","강진군","일반국도",3,126.7511584609,"2",80,NA
"188","전라남도","강진군","일반국도",3,126.7647989188,"1",80,NA
"189","전라남도","강진군","일반국도",3,126.792134,"1",60,NA
"190","전라남도","강진군","지방도",3,126.725143799,"1",60,NA
"191","전라남도","강진군","일반국도",3,126.7081831814,"1",80,NA
"192","전라남도","강진군","일반국도",3,126.7317224223,"1",80,NA
"193","전라남도","강진군","일반국도",3,126.7379189544,"1",80,NA
"194","전라남도","강진군","일반국도",3,126.784971,"1",80,NA
"195","전라남도","강진군","일반국도",3,126.7114951589,"1",80,NA
"196","전라남도","강진군","일반국도",3,126.7308174696,"1",80,NA
"197","전라남도","강진군","일반국도",3,126.7982090246,"2",80,NA
"198","전라남도","강진군","일반국도",3,126.7889013375,"1",60,NA
"199","전라남도","강진군","지방도",3,126.722289,"1",40,NA
"200","전라남도","강진군","일반국도",3,126.7942451262,"1",60,NA
"201","전라남도","강진군","군도",3,126.7663420702,"2",50,NA
"444","전라남도","장성군","기타",3,126.78662854,"4",0,NA
"654","전라남도","진도군","군도",3,126.191442,"1",30,NA
"655","전라남도","진도군","군도",3,126.041933,"1",30,NA
"656","전라남도","진도군","일반국도",3,126.335513,"1",60,NA
"657","전라남도","곡성군","군도",3,127.141509,"1",30,NA
"658","전라남도","곡성군","군도",3,127.141509,"1",30,NA
"659","전라남도","곡성군","군도",3,127.291642,"1",30,NA
"660","전라남도","곡성군","군도",3,127.291642,"1",30,NA
"661","전라남도","곡성군","군도",3,127.253537,"1",30,NA
"662","전라남도","곡성군","군도",3,127.253537,"1",30,NA
"663","전라남도","곡성군","군도",3,127.120851,"1",30,NA
"664","전라남도","곡성군","일반국도",3,127.318256,"1",60,NA
"665","전라남도","곡성군","일반국도",3,127.318256,"1",60,NA
"666","전라남도","곡성군","일반국도",3,127.347767,"1",30,NA
"667","전라남도","곡성군","일반국도",3,127.346031,"1",30,NA
"787","전라남도","강진군","군도",3,126.804487,"1",60,NA
"3874","전라남도","장성군","기타",3,126.78388316,"4",0,NA
"3875","전라남도","장성군","기타",3,126.78388316,"4",0,NA
"3876","전라남도","장성군","기타",3,126.78388316,"4",0,NA
"3877","전라남도","장성군","기타",3,126.78388316,"4",0,NA
"3878","전라남도","장성군","기타",3,126.78388316,"4",0,NA
"3879","전라남도","장성군","기타",3,126.78160981,"4",0,NA
"3880","전라남도","장성군","기타",3,126.78160981,"4",0,NA
"3881","전라남도","장성군","기타",3,126.78160981,"4",0,NA
"3882","전라남도","장성군","기타",3,126.78160981,"4",0,NA
"3883","전라남도","장성군","기타",3,126.78160981,"4",0,NA
"3884","전라남도","장성군","기타",3,126.78160981,"4",0,NA
"3885","전라남도","장성군","기타",3,126.78126245,"4",0,NA
"3886","전라남도","장성군","기타",3,126.78126245,"4",0,NA
"3887","전라남도","장성군","기타",3,126.78126245,"4",0,NA
"3888","전라남도","장성군","기타",3,126.78126245,"4",0,NA
"3889","전라남도","장성군","기타",3,126.78126245,"4",0,NA
"3890","전라남도","장성군","기타",3,126.78090649,"4",0,NA
"3891","전라남도","장성군","기타",3,126.78090649,"4",0,NA
"3892","전라남도","장성군","기타",3,126.7808699,"4",0,NA
"3893","전라남도","장성군","기타",3,126.78090649,"4",0,NA
"3894","전라남도","장성군","기타",3,126.78090649,"4",0,NA
"3895","전라남도","장성군","기타",3,126.78662854,"4",0,NA
"3896","전라남도","장성군","기타",3,126.78662854,"4",0,NA
"3923","전라남도","장성군","기타",3,126.78662854,"4",0,NA
"3950","전라남도","곡성군","일반국도",3,127.299409,"2",80,0.6
"3951","전라남도","곡성군","지방도",3,127.294028,"2",40,0.3
"3952","전라남도","곡성군","지방도",3,127.274744,"2",80,0.6
"3953","전라남도","곡성군","일반국도",3,127.361488,"1",60,0.3
"3954","전라남도","곡성군","일반국도",3,127.3749186764,"1",40,0.6
"3955","전라남도","곡성군","지방도",3,127.238286,"1",80,0.3
"3956","전라남도","곡성군","군도",3,127.208775,"1",30,0.6
"3957","전라남도","곡성군","일반국도",3,127.172076,"1",60,0.3
"3958","전라남도","곡성군","일반국도",3,127.136211,"2",80,0.6
"3959","전라남도","곡성군","일반국도",3,127.169271,"1",60,0.3
