"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"947","전라북도","완주군","시도",NA,127.0466542,"1",90,NA
"948","전라북도","완주군","시도",NA,127.0517999,"1",90,NA
"949","전라북도","덕진구","시도",NA,127.1835524,"1",60,NA
"950","전라북도","덕진구","시도",NA,127.1315639,"1",60,NA
"951","전라북도","덕진구","일반국도",NA,127.1128455,"1",80,NA
"952","전라북도","덕진구","시도",NA,127.0769035,"1",60,NA
"953","전라북도","완주군","일반국도",NA,127.2067007,"1",80,NA
"954","전라북도","완주군","군도",NA,127.1249657,"1",60,NA
"955","전라북도","익산시","일반국도",NA,126.9668352,"1",70,NA
"956","전라북도","완산구","시도",NA,127.0975786,"1",50,NA
"957","전라북도","김제시","지방도",NA,126.9533985,"1",70,NA
"958","전라북도","진안군","지방도",NA,127.4483889,"1",60,NA
"959","전라북도","임실군","일반국도",NA,127.3100628,"1",80,NA
"960","전라북도","남원시","일반국도",NA,127.5625564,"1",60,NA
"961","전라북도","정읍시","일반국도",NA,126.8907133,"1",30,NA
"962","전라북도","고창군","일반국도",NA,126.6074638,"1",80,NA
"963","전라북도","장수군","고속국도",NA,127.5951492,"1",100,NA
"964","전라북도","고창군","일반국도",NA,126.7010195,"1",50,NA
"965","전라북도","완산구","시도",NA,127.1115539,"2",50,NA
"966","전라북도","완산구","시도",NA,127.146881,"2",50,NA
"967","전라북도","완산구","시도",NA,127.086456,"2",50,NA
"968","전라북도","덕진구","시도",NA,127.117633,"2",60,NA
"969","전라북도","군산시","시도",NA,126.7093744,"2",50,NA
"1317","전라북도","덕진구","시도",NA,127.1745561,"2",60,NA
"1318","전라북도","덕진구","시도",NA,127.1568133,"2",60,NA
"1319","전라북도","덕진구","시도",NA,127.1523921,"2",60,NA
"1320","전라북도","덕진구","시도",NA,127.1569167,"2",50,NA
"1321","전라북도","덕진구","시도",NA,127.0570225,"2",50,NA
"1322","전라북도","완산구","시도",NA,127.1253981,"2",60,NA
"1323","전라북도","완산구","시도",NA,127.1229095,"2",60,NA
"1324","전라북도","완산구","시도",NA,127.1288431,"2",60,NA
"1325","전라북도","완산구","시도",NA,127.1226783,"2",60,NA
"1326","전라북도","완산구","시도",NA,127.1072204,"2",60,NA
"1327","전라북도","완산구","시도",NA,127.1322661,"2",50,NA
"1328","전라북도","완산구","시도",NA,127.1150573,"2",30,NA
"1329","전라북도","완산구","시도",NA,127.1890573,"2",60,NA
"1330","전라북도","진안군","지방도",NA,127.3673205,"1",60,NA
"1331","전라북도","진안군","지방도",NA,127.436836,"1",60,NA
"1332","전라북도","남원시","시도",NA,127.3384827,"2",70,NA
"1333","전라북도","남원시","시도",NA,127.3384966,"2",70,NA
"1334","전라북도","익산시","시도",NA,126.9831517,"2",50,NA
"1335","전라북도","덕진구","시도",NA,127.1556488,"2",50,NA
"1336","전라북도","김제시","지방도",NA,126.8840895,"2",80,NA
"1337","전라북도","김제시","지방도",NA,126.8265773,"1",60,NA
"1338","전라북도","김제시","일반국도",NA,126.9399602,"1",60,NA
"1339","전라북도","남원시","시도",NA,127.3725118,"2",30,NA
"1341","전라북도","고창군","고속국도",NA,126.596177,"1",110,NA
"1342","전라북도","군산시","일반국도",NA,126.8253217,"1",80,NA
"1343","전라북도","익산시","일반국도",NA,127.0514626,"1",80,NA
"1344","전라북도","익산시","일반국도",NA,126.9480912,"1",70,NA
"1345","전라북도","김제시","일반국도",NA,126.8799515,"1",90,NA
"1346","전라북도","정읍시","일반국도",NA,126.7951002,"1",60,NA
"1347","전라북도","진안군","일반국도",NA,127.471481,"1",40,NA
"1348","전라북도","무주군","지방도",NA,127.7554326,"1",60,NA
"1349","전라북도","임실군","일반국도",NA,127.1369945,"1",80,NA
"1350","전라북도","덕진구","일반국도",NA,127.0398933,"1",70,NA
"1351","전라북도","군산시","시도",NA,126.7240362,"2",50,NA
"1352","전라북도","익산시","시도",NA,126.952383,"2",50,NA
"1353","전라북도","익산시","시도",NA,126.9688953,"2",50,NA
"1354","전라북도","익산시","시도",NA,126.9712231,"2",50,NA
"1355","전라북도","익산시","시도",NA,126.981454,"2",50,NA
"1356","전라북도","익산시","시도",NA,126.949994,"2",50,NA
"1357","전라북도","김제시","지방도",NA,126.9133498,"2",50,NA
"1358","전라북도","김제시","시도",NA,126.8975081,"2",60,NA
"1359","전라북도","완주군","일반국도",NA,127.2322625,"2",50,NA
"1360","전라북도","완주군","일반국도",NA,127.2321116,"2",50,NA
"1361","전라북도","남원시","시도",NA,127.3910921,"2",50,NA
"1362","전라북도","덕진구","시도",NA,127.1417183,"2",60,NA
"1363","전라북도","덕진구","시도",NA,127.1244759,"1",60,NA
"1364","전라북도","군산시","시도",NA,126.5425064,"2",80,NA
"1365","전라북도","군산시","시도",NA,126.5416612,"2",80,NA
"1366","전라북도","정읍시","시도",NA,126.8293152,"2",50,NA
"1367","전라북도","정읍시","지방도",NA,126.8886204,"1",50,NA
"1368","전라북도","익산시","일반국도",NA,126.961839,"2",70,NA
"1369","전라북도","익산시","시도",NA,126.9834356,"2",50,NA
"1370","전라북도","익산시","지방도",NA,127.0042264,"1",60,NA
"1371","전라북도","완주군","군도",NA,127.0245541,"2",50,NA
"1372","전라북도","완주군","군도",NA,127.2074856,"2",50,NA
"1373","전라북도","완주군","지방도",NA,127.1557554,"2",60,NA
"1374","전라북도","완주군","지방도",NA,127.1045904,"2",60,NA
"1375","전라북도","완주군","일반국도",NA,127.207884,"1",40,NA
"1376","전라북도","정읍시","일반국도",NA,126.9191505,"2",80,NA
"1377","전라북도","정읍시","시도",NA,126.8623736,"1",30,NA
"1378","전라북도","부안군","일반국도",NA,126.7517305,"2",80,NA
"1379","전라북도","임실군","일반국도",NA,127.1952681,"1",60,NA
"1380","전라북도","군산시","일반국도",NA,126.4537031,"1",60,NA
"1381","전라북도","군산시","일반국도",NA,126.4604124,"1",60,NA
"1382","전라북도","순창군","일반국도",NA,127.1948238,"2",80,NA
"1383","전라북도","순창군","일반국도",NA,127.1411361,"2",60,NA
"1384","전라북도","군산시","시도",NA,126.7269103,"2",50,NA
"1385","전라북도","군산시","시도",NA,126.715538,"2",50,NA
"1386","전라북도","군산시","시도",NA,126.7296582,"2",50,NA
"1387","전라북도","덕진구","시도",NA,127.0691669,"1",60,NA
"1388","전라북도","완주군","지방도",NA,127.0040355,"1",70,NA
"1389","전라북도","완주군","일반국도",NA,127.2203783,"1",60,NA
"1390","전라북도","완주군","일반국도",NA,127.1061169,"1",80,NA
"1391","전라북도","완산구","시도",NA,127.1057344,"2",50,NA
"1392","전라북도","완산구","시도",NA,127.1069052,"2",60,NA
"1393","전라북도","덕진구","시도",NA,127.1326902,"2",60,NA
"1394","전라북도","익산시","시도",NA,126.9799111,"2",60,NA
"1395","전라북도","군산시","시도",NA,126.7504418,"2",50,NA
"1396","전라북도","익산시","시도",NA,126.9784509,"2",60,NA
"1397","전라북도","익산시","시도",NA,126.9978558,"2",50,NA
"1398","전라북도","남원시","시도",NA,127.3145364,"1",40,NA
"1399","전라북도","남원시","일반국도",NA,127.3220883,"1",80,NA
"1400","전라북도","부안군","일반국도",NA,126.5104209,"2",80,NA
"1401","전라북도","완산구","지방도",NA,127.0781749,"2",60,NA
"1402","전라북도","덕진구","시도",NA,127.0717007,"2",50,NA
"1403","전라북도","김제시","지방도",NA,126.9373774,"2",60,NA
"1404","전라북도","김제시","지방도",NA,126.9375948,"2",60,NA
"1405","전라북도","순창군","일반국도",NA,127.1501458,"2",60,NA
"1406","전라북도","순창군","일반국도",NA,127.1498854,"2",60,NA
"1407","전라북도","군산시","시도",NA,126.7481289,"2",70,NA
"1408","전라북도","군산시","시도",NA,126.6660829,"2",50,NA
"1409","전라북도","군산시","시도",NA,126.7154415,"2",60,NA
"1410","전라북도","군산시","시도",NA,126.6928855,"2",50,NA
"1411","전라북도","고창군","일반국도",NA,126.5856294,"1",60,NA
"1487","전라북도","정읍시","시도",NA,126.850249,"1",30,NA
"1488","전라북도","완주군","지방도",NA,127.1796241,"2",30,NA
"1489","전라북도","완주군","군도",NA,127.2059173,"2",30,NA
"1490","전라북도","완주군","군도",NA,127.2340044,"2",30,NA
"1491","전라북도","완주군","군도",NA,127.1256057,"1",30,NA
"1492","전라북도","완주군","군도",NA,127.1203325,"1",30,NA
"1493","전라북도","완산구","시도",NA,127.1165109,"2",50,NA
"1494","전라북도","완산구","시도",NA,127.1487351,"2",50,NA
"1495","전라북도","군산시","일반국도",NA,126.5951897,"2",80,NA
"1496","전라북도","고창군","일반국도",NA,126.6924939,"2",60,NA
"1497","전라북도","덕진구","시도",NA,127.0993061,"1",60,NA
"1498","전라북도","덕진구","시도",NA,127.1493567,"1",60,NA
"1499","전라북도","완산구","시도",NA,127.1785509,"1",60,NA
"1500","전라북도","완산구","시도",NA,127.1058217,"1",50,NA
"1501","전라북도","완산구","시도",NA,127.129265,"1",60,NA
"1502","전라북도","완산구","시도",NA,127.0945581,"1",50,NA
"1503","전라북도","군산시","시도",NA,126.6480557,"1",60,NA
"1504","전라북도","군산시","시도",NA,126.7242158,"1",50,NA
"1505","전라북도","익산시","시도",NA,126.9977092,"1",50,NA
"1506","전라북도","남원시","시도",NA,127.4350811,"1",60,NA
"1507","전라북도","부안군","지방도",NA,126.7700486,"1",60,NA
"1508","전라북도","부안군","일반국도",NA,126.6214388,"1",40,NA
"1509","전라북도","김제시","고속국도",NA,126.7980601,"1",110,16.8
"1511","전라북도","무주군","일반국도",NA,127.620112,"1",60,NA
"1512","전라북도","무주군","일반국도",NA,127.821905,"1",60,NA
"1513","전라북도","무주군","일반국도",NA,127.656531,"2",70,NA
"1514","전라북도","무주군","일반국도",NA,127.718037,"1",60,NA
"1515","전라북도","김제시","지방도",NA,126.990856,"1",70,NA
"1516","전라북도","김제시","일반국도",NA,126.956805,"2",60,NA
"1517","전라북도","김제시","일반국도",NA,126.957267,"2",60,NA
"1518","전라북도","무주군","군도",NA,127.833602,"1",40,3.505
"1519","전라북도","무주군","군도",NA,127.827183,"1",40,3.505
"1520","전라북도","익산시","지방도",NA,127.0824422,"2",80,NA
"1521","전라북도","익산시","지방도",NA,127.0828855,"2",80,NA
"1522","전라북도","익산시","일반국도",NA,126.9299374,"2",30,NA
"1523","전라북도","익산시","일반국도",NA,126.9635231,"2",70,NA
"1524","전라북도","익산시","시도",NA,126.9744634,"2",70,NA
"1525","전라북도","익산시","일반국도",NA,126.9481076,"2",70,NA
"1527","전라북도","장수군","일반국도",NA,127.5875337,"1",60,NA
"1528","전라북도","장수군","일반국도",NA,127.5350675,"1",60,NA
"1529","전라북도","고창군","지방도",NA,126.604276,"2",70,NA
"1530","전라북도","고창군","일반국도",NA,126.753127,"2",80,NA
"1531","전라북도","임실군","일반국도",NA,127.2674296,"2",80,NA
