"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"1127","제주특별자치도","제주시","시도",1,126.506891,"1",50,NA
"1802","제주특별자치도","제주시","지방도",1,126.429321,"1",80,13.8
"1803","제주특별자치도","제주시","지방도",1,126.429341,"1",80,13.8
"2223","제주특별자치도","서귀포시","지방도",1,126.377751,"1",50,NA
"2224","제주특별자치도","서귀포시","지방도",1,126.844391,"1",50,NA
"2225","제주특별자치도","서귀포시","지방도",1,126.356121,"1",80,13.8
"2226","제주특별자치도","서귀포시","지방도",1,126.356121,"1",80,13.8
"2249","제주특별자치도","제주시","지방도",1,126.665211,"1",30,NA
"2341","제주특별자치도","제주시","지방도",2,126.272171,"1",30,NA
"2476","제주특별자치도","서귀포시","지방도",1,126.304631,"1",30,NA
"2551","제주특별자치도","제주시","지방도",1,126.460381,"1",60,NA
"2575","제주특별자치도","제주시","지방도",1,126.402321,"1",50,NA
"2576","제주특별자치도","서귀포시","지방도",1,126.841441,"2",60,NA
"2577","제주특별자치도","서귀포시","지방도",2,126.642201,"2",60,NA
"2578","제주특별자치도","서귀포시","지방도",2,126.617171,"2",50,NA
"2579","제주특별자치도","서귀포시","지방도",2,126.239561,"1",30,NA
"2580","제주특별자치도","서귀포시","지방도",2,126.897221,"1",30,NA
"2581","제주특별자치도","제주시","국가지원지방도",2,126.593811,"2",30,NA
"2582","제주특별자치도","제주시","국가지원지방도",1,126.568891,"2",70,NA
"2583","제주특별자치도","서귀포시","지방도",1,126.253311,"2",60,NA
"2584","제주특별자치도","서귀포시","지방도",2,126.561101,"2",50,NA
"3018","제주특별자치도","제주시","시도",2,126.551731,"1",50,NA
"3091","제주특별자치도","제주시","지방도",1,126.834141,"1",50,NA
"3531","제주특별자치도","서귀포시","시도",2,126.567221,"2",50,NA
"3532","제주특별자치도","서귀포시","지방도",2,126.592891,"2",70,NA
"3533","제주특별자치도","서귀포시","지방도",2,126.381681,"1",70,NA
"3534","제주특별자치도","서귀포시","지방도",2,126.442381,"1",70,NA
"3535","제주특별자치도","서귀포시","지방도",1,126.542911,"1",30,NA
"3536","제주특별자치도","서귀포시","지방도",2,126.346031,"1",80,NA
"3537","제주특별자치도","제주시","지방도",2,126.553131,"1",30,NA
"4006","제주특별자치도","제주시","지방도",2,126.470901,"2",60,NA
"4090","제주특별자치도","제주시","지방도",2,126.496761,"2",60,NA
"4147","제주특별자치도","제주시","시도",1,126.540601,"1",50,NA
"6170","제주특별자치도","제주시","시도",2,126.583991,"2",30,NA
"6171","제주특별자치도","제주시","지방도",1,126.186671,"2",50,NA
"6172","제주특별자치도","서귀포시","지방도",2,126.744321,"2",50,NA
"6173","제주특별자치도","서귀포시","지방도",1,126.446441,"1",50,NA
"6174","제주특별자치도","서귀포시","지방도",1,126.413431,"2",70,NA
"6175","제주특별자치도","서귀포시","지방도",1,126.529631,"1",70,NA
"6176","제주특별자치도","서귀포시","지방도",2,126.458821,"1",30,NA
"6177","제주특별자치도","서귀포시","지방도",2,126.901551,"1",50,NA
"6178","제주특별자치도","제주시","지방도",2,126.294051,"1",30,NA
"6179","제주특별자치도","서귀포시","지방도",2,126.553271,"2",60,NA
"6180","제주특별자치도","서귀포시","지방도",1,126.912901,"2",50,NA
"6181","제주특별자치도","서귀포시","지방도",2,126.900391,"1",50,NA
"6182","제주특별자치도","서귀포시","지방도",2,126.499691,"2",50,NA
"6183","제주특별자치도","서귀포시","지방도",2,126.438791,"1",70,NA
"6184","제주특별자치도","서귀포시","지방도",1,126.515771,"1",50,NA
"6185","제주특별자치도","서귀포시","지방도",2,126.489311,"1",70,NA
"6186","제주특별자치도","서귀포시","지방도",2,126.561141,"2",50,NA
"6187","제주특별자치도","제주시","지방도",1,126.434701,"2",30,NA
"6188","제주특별자치도","제주시","시도",2,126.446131,"2",30,NA
"6190","제주특별자치도","제주시","지방도",2,126.849111,"1",50,NA
"6191","제주특별자치도","제주시","지방도",2,126.571981,"2",50,NA
"6192","제주특별자치도","제주시","지방도",1,126.828841,"2",30,NA
"6193","제주특별자치도","제주시","지방도",1,126.738441,"2",50,NA
"6203","제주특별자치도","제주시","시도",2,126.506391,"2",50,NA
"6204","제주특별자치도","제주시","시도",2,126.491561,"2",50,NA
"6205","제주특별자치도","제주시","지방도",1,126.441871,"1",70,NA
"6206","제주특별자치도","제주시","국가지원지방도",1,126.585021,"1",70,NA
"6207","제주특별자치도","제주시","지방도",1,126.586201,"1",30,NA
"6208","제주특별자치도","서귀포시","지방도",1,126.353891,"1",50,NA
"6209","제주특별자치도","서귀포시","지방도",1,126.570421,"1",50,NA
"6210","제주특별자치도","서귀포시","지방도",2,126.351411,"2",80,NA
"6211","제주특별자치도","서귀포시","지방도",1,126.352361,"2",80,NA
"6212","제주특별자치도","제주시","지방도",1,126.184501,"1",70,NA
"6213","제주특별자치도","제주시","지방도",2,126.893901,"2",70,NA
"6214","제주특별자치도","서귀포시","지방도",1,126.709231,"2",50,NA
"6215","제주특별자치도","서귀포시","지방도",1,126.553461,"1",30,NA
"6216","제주특별자치도","제주시","지방도",1,126.562951,"1",30,NA
"6217","제주특별자치도","제주시","시도",1,126.528441,"2",50,NA
"6691","제주특별자치도","서귀포시","지방도",1,126.779181,"1",60,NA
"6755","제주특별자치도","제주시","지방도",2,126.670961,"1",60,3.8
"6756","제주특별자치도","제주시","지방도",2,126.660031,"1",60,3.8
"6757","제주특별자치도","서귀포시","지방도",2,126.513371,"1",50,3.4
