"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"286","충청남도","서북구","시도",3,127.1047271,"4",0,NA
"471","충청남도","서천군","지방도",2,126.716101,"1",80,NA
"472","충청남도","금산군","일반국도",1,127.509656,"1",60,NA
"473","충청남도","청양군","일반국도",2,126.93624,"1",60,NA
"474","충청남도","예산군","일반국도",1,126.777061,"2",60,NA
"475","충청남도","예산군","일반국도",1,126.829115,"2",60,NA
"476","충청남도","태안군","지방도",2,126.237331,"1",60,NA
"477","충청남도","아산시","시도",1,127.017298,"2",50,NA
"478","충청남도","아산시","지방도",2,127.096121,"2",60,NA
"479","충청남도","아산시","시도",1,127.106906,"2",60,NA
"480","충청남도","보령시","일반국도",2,126.63357,"1",30,NA
"481","충청남도","홍성군","일반국도",1,126.735056,"2",80,NA
"482","충청남도","홍성군","일반국도",1,126.655233,"2",60,NA
"483","충청남도","홍성군","지방도",1,126.664963,"2",60,NA
"484","충청남도","예산군","일반국도",2,126.742916,"2",60,NA
"485","충청남도","공주시","지방도",2,127.101972,"2",50,NA
"486","충청남도","아산시","시도",2,127.059382,"2",50,NA
"487","충청남도","아산시","시도",1,127.059335,"2",50,NA
"488","충청남도","공주시","고속국도",2,127.078008,"1",110,NA
"489","충청남도","공주시","고속국도",2,127.112041,"1",110,NA
"490","충청남도","서산시","시도",1,126.453505,"2",60,NA
"491","충청남도","서산시","시도",2,126.453519,"2",60,NA
"492","충청남도","아산시","일반국도",2,126.918348,"2",60,NA
"493","충청남도","아산시","시도",2,127.017075,"2",50,NA
"494","충청남도","아산시","일반국도",1,127.00494,"2",60,NA
"495","충청남도","아산시","지방도",2,127.026389,"2",60,NA
"496","충청남도","천안시","일반국도",1,127.186008,"2",60,NA
"528","충청남도","서산시","일반국도",1,126.476084,"1",50,NA
"553","충청남도","당진시","일반국도",2,126.772056,"2",80,NA
"554","충청남도","아산시","일반국도",1,126.9775,"1",80,NA
"555","충청남도","예산군","지방도",1,126.676239,"2",60,NA
"556","충청남도","예산군","지방도",1,126.673778,"2",70,NA
"557","충청남도","예산군","시도",1,126.838195,"2",50,NA
