"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"611","충청북도","영동군","기타",3,127.7804943483,"4",0,NA
"612","충청북도","영동군","기타",3,127.7804943483,"4",0,NA
"613","충청북도","영동군","기타",3,127.7804943483,"4",0,NA
"614","충청북도","영동군","기타",3,127.7804943483,"4",0,NA
"615","충청북도","영동군","기타",3,127.7804943483,"4",0,NA
"616","충청북도","영동군","기타",3,127.7804943483,"4",0,NA
"617","충청북도","영동군","기타",3,127.7804943483,"4",0,NA
"1646","충청북도","충주시","시도",3,127.921819,"4",0,NA
"1918","충청북도","충주시","시도",3,127.940768,"4",0,NA
"2309","충청북도","충주시","시도",3,127.935146,"4",0,NA
"2520","충청북도","충주시","시도",3,127.826003,"4",0,NA
"2590","충청북도","충주시","시도",3,127.928416,"4",0,NA
"2591","충청북도","충주시","시도",3,127.941975,"4",0,NA
"2592","충청북도","충주시","시도",3,127.939378,"4",0,NA
"2593","충청북도","충주시","시도",3,127.939526,"4",0,NA
"2594","충청북도","충주시","시도",3,127.933994,"4",0,NA
"2595","충청북도","충주시","시도",3,127.943479,"4",0,NA
"2596","충청북도","충주시","시도",3,127.923847,"4",0,NA
"2597","충청북도","충주시","시도",3,127.929705,"4",0,NA
"2598","충청북도","충주시","시도",3,127.831128,"4",0,NA
"2599","충청북도","충주시","시도",3,127.939657,"4",0,NA
"2600","충청북도","충주시","시도",3,127.928736,"4",0,NA
"2601","충청북도","충주시","시도",3,127.931914,"4",0,NA
"2602","충청북도","충주시","시도",3,127.9341933113,"4",0,NA
"2603","충청북도","충주시","시도",3,127.9339522191,"4",0,NA
"2604","충청북도","충주시","시도",3,127.9291049793,"4",0,NA
"2605","충청북도","충주시","시도",3,127.9283163788,"4",0,NA
"2606","충청북도","충주시","시도",3,127.9223390801,"4",0,NA
"2607","충청북도","충주시","시도",3,127.9247164351,"4",0,NA
"2608","충청북도","충주시","시도",3,127.9251157735,"4",0,NA
"2609","충청북도","충주시","시도",3,127.870991,"4",0,NA
"2610","충청북도","충주시","시도",3,127.827756,"4",0,NA
"2611","충청북도","충주시","시도",3,127.828542,"4",0,NA
"3116","충청북도","충주시","시도",3,127.944057,"4",0,NA
"3142","충청북도","충주시","시도",3,127.919132,"4",0,NA
"3949","충청북도","괴산군","일반국도",3,127.7943991607,"4",30,NA
"3988","충청북도","옥천군","기타",3,127.571543,"4",0,NA
"3989","충청북도","옥천군","기타",3,127.570296,"4",0,NA
"3990","충청북도","옥천군","기타",3,127.5690401,"4",0,NA
"3991","충청북도","옥천군","기타",3,127.566752,"4",0,NA
"3992","충청북도","옥천군","기타",3,127.568188,"4",0,NA
"3993","충청북도","옥천군","기타",3,127.567182,"4",0,NA
"3994","충청북도","옥천군","기타",3,127.569012,"4",0,NA
"3995","충청북도","옥천군","기타",3,127.568616,"4",0,NA
"3996","충청북도","옥천군","기타",3,127.567148,"4",0,NA
"3997","충청북도","옥천군","기타",3,127.567245,"4",0,NA
"3998","충청북도","옥천군","기타",3,127.570555,"4",0,NA
"3999","충청북도","옥천군","기타",3,127.567316,"4",0,NA
"4000","충청북도","괴산군","군도",3,127.7933735,"4",30,NA
"4001","충청북도","괴산군","군도",3,127.7939152909,"4",30,NA
"4002","충청북도","괴산군","군도",3,127.7925879,"4",30,NA
"4003","충청북도","괴산군","일반국도",3,127.7933735,"4",30,NA
"4004","충청북도","괴산군","일반국도",3,127.7969057978,"4",30,NA
"4005","충청북도","괴산군","일반국도",3,127.7945033959,"4",30,NA
"5347","충청북도","충주시","시도",3,127.929855,"4",0,NA
"5348","충청북도","충주시","시도",3,127.923237,"4",0,NA
"5958","충청북도","충주시","시도",3,127.9280303977,"4",0,NA
"5959","충청북도","충주시","시도",3,127.928864,"4",0,NA
